split,stratifier,stratum,metric,n_complexes,mean,ci95_low,ci95_high
split2027,density_quartile,Q4,p_at_5,11,0.018181818181818184,0.0,0.05454545454545456
split2027,density_quartile,Q4,p_at_10,11,0.02727272727272728,0.0,0.07272727272727274
split2027,density_quartile,Q4,p_at_nc,11,0.07774318670040595,0.03280854617753013,0.13037795166805857
split2028,density_quartile,Q1,auprc,16,0.013453713126004914,0.00864646233469767,0.020285710408501734
split2028,density_quartile,Q1,auroc,16,0.7223618644901924,0.645448709121696,0.7885054775668889
split2028,density_quartile,Q1,mcc,16,-0.013527988015092932,-0.01587486358760292,-0.011032348143094355
split2028,density_quartile,Q1,f1,16,0.0004325259515570875,0.0,0.0012975778546712624
split2028,density_quartile,Q1,p_at_5,16,0.0,0.0,0.0
split2028,density_quartile,Q1,p_at_10,16,0.0,0.0,0.0
split2028,density_quartile,Q1,p_at_nc,16,0.0016891891891891875,0.0,0.005067567567567563
split2028,density_quartile,Q2,auprc,19,0.0895853008516521,0.05436338342462499,0.1276332873834391
split2028,density_quartile,Q2,auroc,19,0.5648721198074478,0.4869954789744061,0.6383235637785523
split2028,density_quartile,Q2,mcc,19,0.037683645812066936,-0.013169034923481888,0.09347473144540515
split2028,density_quartile,Q2,f1,19,0.06091472237006638,0.01834327197303604,0.10606101200036641
split2028,density_quartile,Q2,p_at_5,19,0.23157894736842102,0.08421052631578947,0.39999999999999997
split2028,density_quartile,Q2,p_at_10,19,0.14210526315789473,0.05263157894736842,0.24210526315789477
split2028,density_quartile,Q2,p_at_nc,19,0.09641679197192317,0.0341614906832298,0.16522635640224004
split2028,density_quartile,Q3,auprc,19,0.071548975453566,0.051622685759353006,0.09425334277137327
split2028,density_quartile,Q3,auroc,19,0.5211876064905568,0.41793115624514,0.6234128661563207
split2028,density_quartile,Q3,mcc,19,-0.013734090187884348,-0.04481774073780288,0.027411617342520095
split2028,density_quartile,Q3,f1,19,0.029747038376637953,0.002216066481994458,0.06927515497520026
split2028,density_quartile,Q3,p_at_5,19,0.010526315789473684,0.0,0.03157894736842106
split2028,density_quartile,Q3,p_at_10,19,0.010526315789473684,0.0,0.03157894736842106
split2028,density_quartile,Q3,p_at_nc,19,0.024118866168159753,0.0024479804161566684,0.05027867488069454
split2028,density_quartile,Q4,auprc,12,0.11519794549253894,0.0810210107908766,0.15270742706749366
split2028,density_quartile,Q4,auroc,12,0.5041429053128992,0.3948643124390735,0.6108697544575115
split2028,density_quartile,Q4,mcc,12,0.05409012883811765,-0.027818285491483654,0.1494494126347442
split2028,density_quartile,Q4,f1,12,0.11676598717737957,0.04166666666666665,0.20313063387034888
split2028,density_quartile,Q4,p_at_5,12,0.03333333333333333,0.0,0.08333333333333333
split2028,density_quartile,Q4,p_at_10,12,0.03333333333333333,0.0,0.09166666666666666
split2028,density_quartile,Q4,p_at_nc,12,0.05349511599511597,0.01831501831501831,0.09516178266178262
split2026,ligand_similarity_bin,<0.4,auprc,38,0.1386197148217008,0.08381875913800198,0.204463361299775
split2026,ligand_similarity_bin,<0.4,auroc,38,0.624939276240418,0.5566239456326693,0.6922511717785701
split2026,ligand_similarity_bin,<0.4,mcc,38,0.012679189171542406,-0.025394498342451916,0.04615824108121052
split2026,ligand_similarity_bin,<0.4,f1,38,0.055628941861136476,0.03546728673907925,0.07775538238703111
split2026,ligand_similarity_bin,<0.4,p_at_5,38,0.1,0.02631578947368421,0.18960526315789286
split2026,ligand_similarity_bin,<0.4,p_at_10,38,0.12105263157894736,0.049999999999999996,0.20526315789473687
split2026,ligand_similarity_bin,<0.4,p_at_nc,38,0.11640925776565392,0.059247603263821134,0.1808727030862956
split2026,ligand_similarity_bin,0.4-0.8,auprc,23,0.051735172077605675,0.025893088017492776,0.0898212356237099
split2026,ligand_similarity_bin,0.4-0.8,auroc,23,0.5380299604673674,0.4437889958779087,0.6254468221134338
split2026,ligand_similarity_bin,0.4-0.8,mcc,23,-0.004570015627911336,-0.04203796332387869,0.04209381061124538
split2026,ligand_similarity_bin,0.4-0.8,f1,23,0.0269795925640277,0.004641325745966791,0.06471970457803937
split2026,ligand_similarity_bin,0.4-0.8,p_at_5,23,0.043478260869565216,0.0,0.12173913043478261
split2026,ligand_similarity_bin,0.4-0.8,p_at_10,23,0.03043478260869565,0.0,0.08695652173913043
split2026,ligand_similarity_bin,0.4-0.8,p_at_nc,23,0.026350461133069825,0.0,0.06719367588932805
split2026,ligand_similarity_bin,>=0.8,auprc,1,0.3252229105243805,0.3252229105243805,0.3252229105243805
split2026,ligand_similarity_bin,>=0.8,auroc,1,0.70528296226735,0.70528296226735,0.70528296226735
split2026,ligand_similarity_bin,>=0.8,mcc,1,0.1835299451878699,0.1835299451878699,0.1835299451878699
split2026,ligand_similarity_bin,>=0.8,f1,1,0.1499250374812593,0.1499250374812593,0.1499250374812593
split2026,ligand_similarity_bin,>=0.8,p_at_5,1,0.6,0.6,0.6
split2026,ligand_similarity_bin,>=0.8,p_at_10,1,0.7,0.7,0.7
split2026,ligand_similarity_bin,>=0.8,p_at_nc,1,0.3571428571428571,0.3571428571428571,0.3571428571428571
split2027,ligand_similarity_bin,<0.4,auprc,23,0.07575540845164722,0.05613077301223241,0.09727304862568835
split2027,ligand_similarity_bin,<0.4,auroc,23,0.5543855718182278,0.4941366959437478,0.6083176938708562
split2027,ligand_similarity_bin,<0.4,mcc,23,0.028341448226617823,-0.010781492423349432,0.06571478545234304
split2027,ligand_similarity_bin,<0.4,f1,23,0.09161728775177731,0.056434247569183235,0.12835531719362045
split2027,ligand_similarity_bin,<0.4,p_at_5,23,0.017391304347826087,0.0,0.043478260869565216
split2027,ligand_similarity_bin,<0.4,p_at_10,23,0.017391304347826087,0.0,0.0391304347826087
split2027,ligand_similarity_bin,<0.4,p_at_nc,23,0.04270456383627739,0.020504921336123378,0.06769956164537365
split2027,ligand_similarity_bin,0.4-0.8,auprc,27,0.05987608866084016,0.03470433697514031,0.09123561373255536
split2027,ligand_similarity_bin,0.4-0.8,auroc,27,0.5265475406658175,0.47083976840790914,0.5797192993840985
split2027,ligand_similarity_bin,0.4-0.8,mcc,27,0.0010225618154028491,-0.03334589097649195,0.038522830346734246
split2027,ligand_similarity_bin,0.4-0.8,f1,27,0.04451630057552927,0.019386841918861,0.07624807533965275
